"store","state","place_id","name","address","latitude","longitude"
"Ben and Jerry's","NC","ChIJW8VWBO36qIkRzM7QdOzzNzY","Ben & Jerry's","8204 Emerald Dr Unit 2, Emerald Isle, NC 28594, USA","34.6651185","-77.03567149999999"
"Ben and Jerry's","NC","ChIJEUJ9-e6fVogRgGyOK8z3ZoA","Ben & Jerry's","507 Providence Rd, Charlotte, NC 28207, USA","35.2033804","-80.8244245"
"Ben and Jerry's","NC","ChIJG0m8bbjorIkRZmQXyfbDcx0","Ben & Jerry's","6910 Fayetteville Rd Suite 5550, Durham, NC 27713, USA","35.9040209","-78.9417891"
"Ben and Jerry's","NC","ChIJIWfaBnkQqYkR-RRuZGWloMY","Ben & Jerry's","375 Jacksonville Mall, Jacksonville, NC 28546, USA","34.7646487","-77.38069329999999"
"Ben and Jerry's","NC","ChIJVdf6mqAgVIgRwtEH2qXSvuc","Ben & Jerry's","7800 Fairview Rd, Charlotte, NC 28226, USA","35.1473225","-80.80955709999999"
"Ben and Jerry's","NC","ChIJT42KbVSeVogRWg-e2IpDpaE","Ben & Jerry's","1600 E Woodlawn Rd Suite 110, Charlotte, NC 28209, USA","35.1718921","-80.8492993"
"Ben and Jerry's","NC","ChIJL6Zw8qz7UIgRUOc56Jscz8w","Ben & Jerry's - Coming Soon","671 W King St, Boone, NC 28607, USA","36.2188576","-81.68562829999999"
"Ben and Jerry's","NC","ChIJm1QH3crzWYgR2dowg-pV3S8","Ben & Jerry's","19 Haywood St, Asheville, NC 28801, USA","35.5952765","-82.55425000000001"
"Ben and Jerry's","NC","ChIJgVB2So3WrIkR-IYWvLi9rlo","Ben & Jerry's","4000 Arrowhead Blvd, Mebane, NC 27302, USA","36.0742914","-79.2679091"
"Ben and Jerry's","OH","ChIJEczZCXX9MIgRvBR_9Srl3Js","Ben & Jerry's","20650 N Park Blvd, University Heights, OH 44118, USA","41.4871836","-81.5348777"
